Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)

Bakerloo ,Southbound,WEMBLEY CENTRAL,STONEBRIDGE PARK,1.71,2.23,3.13,3.13
Bakerloo ,Southbound,STONEBRIDGE PARK,HARLESDEN,1.53,2.13,2.4,2.4
Bakerloo ,Southbound,HARLESDEN,WILLESDEN JUNCTION,1.05,1.65,2.23,2.23
Bakerloo ,Southbound,WILLESDEN JUNCTION,KENSAL GREEN,1.5,2.47,2.5,2.5
Bakerloo ,Southbound,KENSAL GREEN,QUEENS PARK,1.32,2.65,4.72,4.72
Bakerloo ,Southbound,QUEENS PARK,KILBURN PARK,0.79,1.42,1.5,1.5
Bakerloo ,Southbound,KILBURN PARK,MAIDA VALE,0.88,1.48,2,2
Bakerloo ,Southbound,MAIDA VALE,WARWICK AVENUE,0.79,1.5,1.5,1.5
Bakerloo ,Southbound,WARWICK AVENUE,PADDINGTON,0.88,1.58,2,2
Bakerloo ,Southbound,PADDINGTON,EDGWARE ROAD (BAKERLOO),0.72,1.57,1.5,1.5
Bakerloo ,Southbound,EDGWARE ROAD (BAKERLOO),MARYLEBONE,0.45,1.12,1.5,1.5
Bakerloo ,Southbound,MARYLEBONE,BAKER STREET,0.5,1.17,1.5,1.5
Bakerloo ,Southbound,BAKER STREET,REGENTS PARK,0.88,1.68,2,2
Bakerloo ,Southbound,REGENTS PARK,OXFORD CIRCUS,0.87,1.85,2,2
Bakerloo ,Southbound,OXFORD CIRCUS,PICCADILLY CIRCUS,0.97,1.95,2.48,2.48
Bakerloo ,Southbound,PICCADILLY CIRCUS,CHARING CROSS,0.55,1.35,1.5,1.5
Central ,Eastbound,NORTHOLT,GREENFORD,1.78,1.93,2,2
Central ,Eastbound,GREENFORD,PERIVALE,1.69,1.85,2.33,2.25
Central ,Eastbound,PERIVALE,HANGER LANE,2.1,2.1,2.25,2.26
Central ,Eastbound,HANGER LANE,NORTH ACTON,2.49,2.85,3.44,3.48
Central ,Eastbound,WEST ACTON,NORTH ACTON,1.77,2.3,2.86,3.26
Central ,Eastbound,NORTH ACTON,EAST ACTON,1.11,1.5,1.75,1.75
Central ,Eastbound,EAST ACTON,WHITE CITY,2.06,2.57,3.28,3.71
Central ,Eastbound,WHITE CITY,SHEPHERDS BUSH,1.16,2.68,2.75,2.75
Central ,Eastbound,SHEPHERDS BUSH,HOLLAND PARK,0.87,1.37,1.75,1.75
Central ,Eastbound,HOLLAND PARK,NOTTING HILL GATE,0.61,1.08,1.5,1.5
Central ,Eastbound,NOTTING HILL GATE,QUEENSWAY,0.69,1.17,1.5,1.5
Central ,Eastbound,QUEENSWAY,LANCASTER GATE,0.9,1.35,1.5,1.5
Central ,Eastbound,LANCASTER GATE,MARBLE ARCH,1.2,1.92,2.71,2.5
Central ,Eastbound,MARBLE ARCH,BOND STREET,0.55,1,1.25,1.25
Central ,Eastbound,BOND STREET,OXFORD CIRCUS,0.66,1.1,1.5,1.5
Central ,Eastbound,OXFORD CIRCUS,TOTTENHAM COURT ROAD,0.58,0.98,1.5,1.5
Victoria,Northbound,VICTORIA,GREEN PARK,1.09,1.95,2,2
Victoria,Northbound,GREEN PARK,OXFORD CIRCUS,1.14,1.97,2.47,2.02
